id;street_address;postal_code;city;state_province
1;above;easily below reciprocity;Sterling Heights;meanwhile until
2;than midst;gosh fly;Ahmedton;administration dress
3;phase oof hmph;live therapist;Runolfsdottircester;notwithstanding
4;faithfully;liar attendance profitable;Fort Trevionboro;calm
5;gosh;back worth yippee;Bolingbrook;ruins as
6;with;reheat;South Dino;airplane
7;rival goat times;against gah;Lake Opalton;cable sheepishly unsightly
8;meanwhile;inquisitively gosh;Leorabury;boo official
9;towards and;circa strident;Earleneberg;jealously fatal
10;worth evenly brr;adept before why;West New York;rivet after
